2023-07-07 09:12:03,820 INFO 	 org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [main] (52):	 HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-07-07 09:12:03,831 INFO 	 org.springframework.orm.jpa.AbstractEntityManagerFactoryBean [main] (437):	 Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-07-07 09:12:03,970 WARN 	 org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [main] (219):	 spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-07-07 09:12:04,405 INFO 	 org.apache.juli.logging.DirectJDKLog [main] (173):	 Starting ProtocolHandler ["http-nio-8089"]
2023-07-07 09:12:04,445 INFO 	 org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] (220):	 Tomcat started on port(s): 8089 (http) with context path '/alm-mapper'
2023-07-07 09:12:04,461 INFO 	 org.springframework.boot.StartupInfoLogger [main] (61):	 Started AlmMapperApplication in 4.874 seconds (JVM running for 5.692)
2023-07-07 09:12:21,896 INFO 	 org.apache.juli.logging.DirectJDKLog [http-nio-8089-exec-1] (173):	 Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-07-07 09:12:21,897 INFO 	 org.springframework.web.servlet.FrameworkServlet [http-nio-8089-exec-1] (525):	 Initializing Servlet 'dispatcherServlet'
2023-07-07 09:12:21,899 INFO 	 org.springframework.web.servlet.FrameworkServlet [http-nio-8089-exec-1] (547):	 Completed initialization in 1 ms
2023-07-07 09:12:22,001 INFO 	 com.ridonit.alm.controller.AlmApiRootController [http-nio-8089-exec-1] (20):	 alm-mapper is alive
2023-07-07 09:12:22,002 TRACE 	 com.ridonit.alm.controller.AlmApiRootController [http-nio-8089-exec-1] (22):	 TRACE Message
2023-07-07 09:12:22,003 DEBUG 	 com.ridonit.alm.controller.AlmApiRootController [http-nio-8089-exec-1] (23):	 DEBUG Message
2023-07-07 09:12:22,004 INFO 	 com.ridonit.alm.controller.AlmApiRootController [http-nio-8089-exec-1] (24):	 INFO  Message
2023-07-07 09:12:22,005 WARN 	 com.ridonit.alm.controller.AlmApiRootController [http-nio-8089-exec-1] (25):	 WARN  Message
